,0
1634,60034581
1635,158076441
1636,225185305
1637,21106203
1638,274075161
1639,19795489
1640,26480162
1641,349310500
1642,530583078
1643,203296295
1644,519835176
1645,476450345
1646,27135529
1647,143265326
1648,214830640
1649,320081458
1650,111152692
1651,4066871
1652,188747323
1653,529272380
1654,76025405
1655,540282430
1656,333319741
1657,140119617
1658,468848195
1659,103681605
1660,262016583
1661,191499849
1662,657591883
1663,181407308
1664,13897293
1665,234884690
1666,245501523
1667,240127573
1668,57019990
1669,131731036
1670,121900637
1671,29363807
1672,179834466
1673,323489382
1674,29363814
1675,132779625
1676,244059754
1677,543559274
1678,327028332
1679,15863402
1680,81792619
1681,481824365
1682,227413616
1683,533335671
1684,193859194
1685,235540091
1686,295964283
1687,286002811
1688,563744392
1689,89001609
1690,414191243
1691,348262028
1692,30019211
1693,320474766
1694,33033872
1695,276827793
1696,214175377
1697,44174994
1698,166727316
1699,599527061
1700,153489048
1701,205786778
1702,166596251
1703,138677917
1704,156110495
1705,377753248
1706,475401890
1707,178785956
1708,417730215
1709,29757101
1710,38145710
1711,22154926
1712,37228212
1713,231870134
1714,256249528
1715,295440059
1716,140512956
1717,354815675
1718,384044737
1719,100142788
1720,303959749
1721,456003270
1722,534384329
1723,19533515
1724,266604236
1725,533860045
1726,381816525
1727,6033103
1728,313790160
1729,782241488
1730,595201748
1731,737939164
1732,396234463
1733,28708576
1734,354291423
1735,21368547
1736,154013411
1737,420744934
1738,163581678
1739,166727406
1740,262541040
1741,7868144
1742,131862258
1743,37359347
1744,369889013
1745,219811575
1746,294391546
1747,209981182
1748,455610113
1749,310382341
1750,406851334
1751,169873160
1752,241831689
1753,3018504
1754,170659601
1755,381554454
1756,44830486
1757,72879894
1758,275386140
1759,709234461
1760,108662558
1761,328601382
1762,16650022
1763,145231658
1764,32640811
1765,278400814
1766,289148723
1767,9178931
1768,22417208
1769,59248444
1770,229248832
1771,255463241
1772,16256865
1773,196349795
1774,165023588
1775,57544549
1776,154275686
1777,18878308
1778,20451178
1779,50204523
1780,420876139
1781,21630828
1782,445124460
1783,259264371
1784,554962804
1785,307236726
1786,292687735
1787,56758140
1788,423759741
1789,27922305
1790,58724225
1791,190975875
1792,271191943
1793,271978378
1794,66326411
1795,174198668
1796,361500557
1797,81399691
1798,3673999
1799,478154641
1800,131600278
1801,196480924
1802,78516125
1803,207228833
1804,462688161
1805,330174369
1806,332140452
1807,212733862
1808,71045031
1809,523636648
1810,478023593
1811,516427691
1812,301993900
1813,274599855
1814,147591087
1815,491392951
1816,159518649
1817,65671098
1818,493621179
1819,282464188
1820,375263169
1821,216010690
1822,171708365
1823,152702928
1824,71569360
1825,456003539
1826,320999381
1827,259002326
1828,308416469
1829,276434903
1830,435163100
1831,100798431
1832,247074790
1833,541986794
1834,733745130
1835,433328110
1836,178524143
1837,23334896
1838,73928690
1839,111415285
1840,314970102
1841,461770742
1842,194121720
1843,152834044
1844,452202495
1845,147066880
1846,25038852
1847,1576964
1848,155979782
1849,322834438
1850,60952585
1851,33951757
1852,270274574
1853,212340749
1854,31854608
1855,30543890
1856,18223124
1857,142086167
1858,523505697
1859,324931618
1860,153227309
1861,343543858
1862,175771699
1863,182980667
1864,305401916
1865,307499069
1866,263458881
1867,322310211
1868,143659079
1869,488509513
1870,155717707
1871,249040977
1872,214437970
1873,6164563
1874,7213140
1875,56627281
1876,254414934
1877,69734482
1878,18878555
1879,476057693
1880,14422116
1881,318247017
1882,345510002
1883,152703090
1884,391254132
1885,573575285
1886,52301942
1887,203034746
1888,141037694
1889,208146561
1890,179703937
1891,6295693
1892,200151182
1893,127406224
1894,451285138
1895,22024340
1896,444207255
1897,547885210
1898,372773024
1899,38408355
1900,184160422
1901,323227815
1902,122425512
1903,81006761
1904,293867687
1905,255725740
1906,273944751
1907,373952687
1908,258871472
1909,325324978
1910,138416305
1911,9703605
1912,211685558
1913,441979063
1914,316936380
1915,221909180
1916,232263871
1917,192024769
1918,406327495
1919,267522248
1920,328208588
1921,269750480
1922,87560401
1923,340005075
1924,77205718
1925,234754267
1926,421925084
1927,297930971
1928,217714910
1929,31461597
1930,227938528
1931,717623521
1932,270799070
1933,497029349
1934,3150054
1935,163713260
1936,105386221
1937,507121904
